"region","municipality","county","dummy_coast","hh_category","land_area","holiday_homes","future_hh_area","holiday_homes_1970","hh_dwelling_ratio","median_hh_price","prop_hh_area","prop_wetlands","prop_montainous","altitudinal_range","dist_to_coast","veg_sections","veg_zones","prop_protected","grazing_livestock","infrastructure_index","population","population_change","median_age","urban_settlement_ratio","prop_farm_residents","pop_2hr_drive","pop_4hr_drive","median_income","education","employment_rate","prop_private_sector","municipal_economy","unrestricted_revenues","off_road_motor","ski_lifts","hiker_cabins","activity_data","activity_pr_person","culture_index"
"1134","Suldal","Rogaland",1,3,1582.54,1913,6.457153,505,0.867573696,1600000,9e-04,0.0101,0.0566,1645,10363.7793,-2.487052202,0.703064561,0.28304081,23924,1.357572794,3784,-5.911451892,43,0.31,29.5,170585.6634,609368.7132,444500,4.7,0.716,0.6893,5.6,77357,16,1,7,8064.124405,2.131111101,214.12749
"1135","Sauda","Rogaland",1,3,507.5,1285,7.146509,516,0.506503745,1750000,0.0017,0.0154,0.0756,1595,8675.055664,-3.185170412,0.633050323,0.001596028,7430,1.442276478,4525,-9.565046251,44,0.91,7.4,53287.17249,874272.9723,442700,4.8,0.676666667,0.6167,3.7,72715,14,6,1,11068.4478,2.446065813,98.01830419
"1525","Stranda","Møre og Romsdal",1,3,844.64,902,3.378503,316,0.364886731,2387500,8e-04,0.0147,0.2128,1771,4400.599121,-2.467831373,0.012281836,0.322460722,10118,1.066641927,4467,-3.292709001,44,0.71,17.2,130135.9276,258782.5167,429800,4.8,0.732333333,0.7841,-1.5,68325,5,7,1,14559.89657,3.259435096,104.3174212
"1539","Rauma","Møre og Romsdal",1,3,1389.95,1134,3.175839,518,0.326895359,790000,8e-04,0.0147,0.2434,1979,12322.60059,-1.566198945,-0.302830637,0.567347262,10935,1.184534907,7019,0.714767363,45,0.67,18.4,112979.104,249207.0116,423700,4.7,0.694,0.7242,-5.7,68277,32,1,5,39073.11039,5.566763128,152.7312467
"1563","Sunndal","Møre og Romsdal",1,3,1647.98,880,7.808873,473,0.23054755,997500,4e-04,0.0108,0.2488,1984,17300.70703,-1.218461633,-1.094827175,0.707207399,5489,0.801661551,6932,-4.50597177,46,0.67,12.3,44537.9632,428504.4134,436000,5.5,0.656,0.7228,-0.2,68471,26,1,10,20301.40098,2.928649882,186.6959178
"1578","Fjord","Møre og Romsdal",1,3,1144.06,998,0.13129,232,0.650586701,850000,6e-04,0.0101,0.2895,1982,7545.976563,-2.073393583,-0.37434119,0.506101185,8789,0.800081372,2491,-15.37184595,48,0.23,32.2,133566.0845,255677.303,404800,5.1,0.716666667,0.6884,0.7,87318,14,4,6,10029.50134,4.026295199,186.4740321
"1806","Narvik","Nordland",1,3,3194.67,3615,15.008466,1684,0.301174706,795000,0.001,0.0159,0.2136,1855,6665.864746,-0.729664624,-1.0095855,0.024343596,3532,0.978555739,21530,0,43,0.84,4,30103.66858,118709.4465,439700,7.2,0.645666667,0.6042,-2.1,67776,204,8,13,30705.80781,1.426187079,141.6225236
"1826","Aarborte - Hattfjelldal","Nordland",0,3,2411.12,665,9.707993,165,0.842839037,8e+05,2e-04,0.0538,0.0547,1541,50903.92969,0.137733027,-1.454620361,0.34018066,12805,0.559699416,1273,-20.62423501,50,0.4,39.6,16647.41077,59254.72384,381500,2.6,0.685,0.5627,7.2,92656,37,0,0,650.9045238,0.511315415,107.953237
"1839","Beiarn","Nordland",1,3,1178.73,587,0.196245,154,0.863235294,7e+05,5e-04,0.0122,0.1189,1582,16735.19727,-1.331812978,-0.974543452,0.32185517,4187,0.652323127,1012,-22.42562929,54,0,39.4,51839.76194,89849.83308,354500,2.5,0.623,0.5678,1.8,95750,59,0,3,1449.358851,1.432172777,116.7766157
"1840","Saltdal","Nordland",1,3,2083.92,1324,0.053381,520,0.527070064,950000,5e-04,0.0207,0.1148,1729,26478.00586,-0.013554983,-1.587684155,0.674747475,6530,0.668429911,4617,-4.419889503,46,0.56,16.1,73005.872,107040.7138,426800,3.8,0.659333333,0.5959,0.5,71830,169,0,8,5218.648434,1.130311552,99.89621838
